FID	IID	pop	sex	phase	igrowth
NA12814	NA12814	CEU	1	I	83807
NA12815	NA12815	CEU	2	I	68896
NA12817	NA12817	CEU	1	III	85036
NA12818	NA12818	CEU	2	III	65622
NA12827	NA12827	CEU	1	III	78628
NA12828	NA12828	CEU	2	III	66813
NA12829	NA12829	CEU	1	III	71666
NA12830	NA12830	CEU	2	III	85946
NA12832	NA12832	CEU	2	III	93453
NA12842	NA12842	CEU	1	III	63952
NA12843	NA12843	CEU	2	III	74480
NA12864	NA12864	CEU	1	I	76867
NA12865	NA12865	CEU	2	I	57289
NA12872	NA12872	CEU	1	I	78130
NA12873	NA12873	CEU	2	I	64137
NA12874	NA12874	CEU	1	I	87816
NA12875	NA12875	CEU	2	I	57876
NA12877	NA12877	CEU	1	III	60951
NA12878	NA12878	CEU	2	I	86454
NA12889	NA12889	CEU	1	III	76023
NA12890	NA12890	CEU	2	III	97966
NA12891	NA12891	CEU	1	I	46501
NA12892	NA12892	CEU	2	I	81644
NA18484	NA18484	YRI	2	III	101060
NA18485	NA18485	YRI	1	III	91742
NA18486	NA18486	YRI	1	III	77564
NA18487	NA18487	YRI	1	III	69699
NA18488	NA18488	YRI	2	III	82017
NA18489	NA18489	YRI	2	III	60972
NA18497	NA18497	YRI	1	III	93593
NA18498	NA18498	YRI	1	III	50949
NA18499	NA18499	YRI	2	III	91646
NA18500	NA18500	YRI	1	I	77944
NA18501	NA18501	YRI	1	I	92982
NA18502	NA18502	YRI	2	I	103516
NA18503	NA18503	YRI	1	I	93908
NA18504	NA18504	YRI	1	I	78139
NA18505	NA18505	YRI	2	I	72039
NA18506	NA18506	YRI	1	I	85944
NA18507	NA18507	YRI	1	I	81694
NA18508	NA18508	YRI	2	I	86288
NA18509	NA18509	YRI	1	III	80843
NA18510	NA18510	YRI	1	III	61468
NA18511	NA18511	YRI	2	III	71164
NA18515	NA18515	YRI	1	I	73637
NA18516	NA18516	YRI	1	I	78751
NA18517	NA18517	YRI	2	I	73614
NA18518	NA18518	YRI	2	III	47561
NA18519	NA18519	YRI	1	III	93262
NA18520	NA18520	YRI	2	III	55275
NA18521	NA18521	YRI	1	I	78006
NA18522	NA18522	YRI	1	I	85860
NA18523	NA18523	YRI	2	I	46145
NA18524	NA18524	ASN	1	I	83831
NA18526	NA18526	ASN	2	I	86554
NA18529	NA18529	ASN	2	I	71753
NA18532	NA18532	ASN	2	I	55055
NA18537	NA18537	ASN	2	I	77805
NA18540	NA18540	ASN	2	I	84627
NA18542	NA18542	ASN	2	I	58033
NA18545	NA18545	ASN	2	I	91271
NA18547	NA18547	ASN	2	I	103883
NA18550	NA18550	ASN	2	I	77232
NA18552	NA18552	ASN	2	I	78610
NA18555	NA18555	ASN	2	I	85378
NA18558	NA18558	ASN	1	I	84400
NA18561	NA18561	ASN	1	I	76085
NA18562	NA18562	ASN	1	I	87912
NA18563	NA18563	ASN	1	I	77156
NA18564	NA18564	ASN	2	I	91493
NA18566	NA18566	ASN	2	I	71932
NA18570	NA18570	ASN	2	I	69175
NA18571	NA18571	ASN	2	I	81036
NA18572	NA18572	ASN	1	I	81271
NA18573	NA18573	ASN	2	I	85202
NA18576	NA18576	ASN	2	I	81457
NA18577	NA18577	ASN	2	I	70817
NA18579	NA18579	ASN	2	I	80363
NA18582	NA18582	ASN	2	I	57238
