time	rss	swap	cpu	read	write
11/25/2020, 14:05:46	44.802048	0.0	99.8	0.0	0.0
11/25/2020, 14:05:47	151.236608	0.0	99.8	0.0	0.0
11/25/2020, 14:05:48	155.058176	0.0	99.8	0.0	0.0
11/25/2020, 14:05:50	163.774464	0.0	99.8	0.0	0.0
11/25/2020, 14:05:51	167.264256	0.0	109.8	0.0	0.0
11/25/2020, 14:05:52	171.04896	0.0	99.8	0.0	0.0
11/25/2020, 14:05:53	174.526464	0.0	99.8	0.0	0.0
11/25/2020, 14:05:54	178.028544	0.0	99.8	0.0	0.0
11/25/2020, 14:05:56	181.682176	0.0	99.8	0.0	0.0
11/25/2020, 14:05:57	185.1392	0.0	99.8	0.0	0.0
11/25/2020, 14:05:58	188.932096	0.0	99.8	0.0	0.0
11/25/2020, 14:05:59	202.665984	0.0	99.8	0.0	0.0
11/25/2020, 14:06:01	206.430208	0.0	99.8	0.0	0.0
11/25/2020, 14:06:02	209.915904	0.0	99.8	0.0	0.0
11/25/2020, 14:06:03	213.454848	0.0	99.8	0.0	0.0
11/25/2020, 14:06:04	216.96512	0.0	99.8	0.0	0.0
11/25/2020, 14:06:05	220.430336	0.0	99.8	0.0	0.0
11/25/2020, 14:06:07	223.92832	0.0	99.8	0.0	0.0
11/25/2020, 14:06:08	227.401728	0.0	99.8	0.0	0.0
11/25/2020, 14:06:09	230.928384	0.0	99.8	0.0	0.0
11/25/2020, 14:06:10	234.41408	0.0	99.8	0.0	0.0
11/25/2020, 14:06:12	238.10048	0.0	99.8	0.0	0.0
11/25/2020, 14:06:13	241.58208	0.0	99.8	0.0	0.0
11/25/2020, 14:06:14	245.035008	0.0	99.8	0.0	0.0
11/25/2020, 14:06:15	248.754176	0.0	99.8	0.0	0.0
11/25/2020, 14:06:16	252.256256	0.0	99.8	0.0	0.0
11/25/2020, 14:06:18	276.680704	0.0	89.8	0.0	0.0
11/25/2020, 14:06:19	280.18688	0.0	99.8	0.0	0.0
11/25/2020, 14:06:20	283.660288	0.0	99.8	0.0	0.0
11/25/2020, 14:06:21	287.25248	0.0	99.8	0.0	0.0
11/25/2020, 14:06:23	290.455552	0.0	99.8	0.0	0.0
11/25/2020, 14:06:24	294.014976	0.0	99.8	0.0	0.0
11/25/2020, 14:06:25	297.5744	0.0	99.8	0.0	0.0
11/25/2020, 14:06:26	301.264896	0.0	99.8	0.0	0.0
11/25/2020, 14:06:27	304.775168	0.0	99.8	0.0	0.0
11/25/2020, 14:06:29	308.59264	0.0	99.8	0.0	0.0
11/25/2020, 14:06:30	312.123392	0.0	99.8	0.0	0.0
11/25/2020, 14:06:31	315.580416	0.0	99.8	0.0	0.0
11/25/2020, 14:06:32	319.2832	0.0	99.8	0.0	0.0
11/25/2020, 14:06:34	322.441216	0.0	99.8	0.0	0.0
11/25/2020, 14:06:35	326.115328	0.0	99.8	0.0	0.0
11/25/2020, 14:06:36	329.547776	0.0	99.8	0.0	0.0
11/25/2020, 14:06:37	333.152256	0.0	99.8	0.0	0.0
11/25/2020, 14:06:38	336.592896	0.0	99.8	0.0	0.0
11/25/2020, 14:06:40	340.123648	0.0	99.8	0.0	0.0
11/25/2020, 14:06:41	343.621632	0.0	99.8	0.0	0.0
11/25/2020, 14:06:42	347.164672	0.0	99.8	0.0	0.0
11/25/2020, 14:06:43	350.96576	0.0	99.8	0.0	0.0
11/25/2020, 14:06:45	354.484224	0.0	99.8	0.0	0.0
